priority	id	text	source	keyword_cat	ws_label	gpt_label	llama_label	tier	majority_label	human_label
6619	25072	الخرطوم شارع الستين موكب الاباء والامهات مليونية26فبراير ميثاق_تاسيس_سلطة_الشعب لاتفاوض_لاشراكة_لاشرعية	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6620	25125	بل بس القحاطة شابكننا الجيش ح يتفاوض في جنيف والجيش رسل وفد هاكم البل دا	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6621	25162	قائد سلاح المهندسين محمولا على الاعناق يهنئ جنوده بتدمير المليشيا في العمليات النوعية التي تم تنفيذها وسط حماس الضباط والجنود الخميس ٢١ ديسمبر ٢٠٢٣م السودان القوات_المسلحة_السودانية معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	violence_reporting	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6622	25264	اسواق دقلو حتى الدواء لم يسلم منها جيش_واحد_شعب_واحد دحر_المليشيا معركة_الكرامة	war_corpus	violence_reporting	NEUTRAL	HATE	HATE	2	HATE	
6623	25587	تجمع المهنيين السودانيين كل السلطة والثروة للشعب العسكر للثكنات الميليشيات تنحل اعلام التجمع ١٠ ديسمبر ٢٠٢١م مليونية13 تجمع المهنيين السودانيين كل السلطة والثروة للشعب العسكر للثكنات الميليشيات تنحل اعلام التجمع ١٠ ديسمبر ٢٠٢١م مليونية13ديسمبر ديسمبر_الثورة_مستمرة لاتفاوض_لاشراكة_لاشرعية	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6624	26215	شاهد كلمة فخامة السيد رئيس مجلس السيادة القائد العام للقوات المسلحة الفريق اول ركن عبد الفتاح البرهان عبدالرحمن بمناسبة عيد الفطر المبارك ٩_٤_٢٠٢٤م فيديو السودان القوات_المسلحة_السودانية المقاومة_الشعبية تحت قيادة القوات المسلحة نحن في الشدة باس يتجلى معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6625	26224	جانب من عمليات التمشيط التي نفذها اسود منطقة جبل اولياء العسكرية واستلام عربة ثنائي الاثنين ١٣ نوفمبر ٢٠٢٣م السودان القوات_المسلحة كرامة_الجيش_كرامة_شعب معركة_الحسم الجيش_صاحي مليشيا_دقلو_منظمة_ارها بية انهاء_التمرد جيش_واحد_شعب_واحد ده_جيش_بتداوس؟ السودان_اليوم بحري الخرطوم امدرمان الجيش_السوداني الجيش جيشنا جياشة sudanese sudan khartoum SudanNews FYP sd sud sudan sudan_war khartoum_war KeepEyesOnSudan Conflict_in_Sudan diplomats	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6626	26677	نحن مفروض نودي لجان الاحياء تمسك التفاوض الحشود العملوها الليلة دي كافية لاسقاط بن سلمان ذاتو والله اللهم أرزقنا سياسيين يليقوا بالشعب السوداني #مدن_السودان_تنتفض #مليونية30يونيو	old_twitter	revolution_terms	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6627	27657	ماركسي المثقف المتزن الطيب عبد السلام رسول الاستنارة يستخدم الالفاظ كأسلوب ترهيب	old_twitter	hate_tribal	NEUTRAL	OFFENSIVE	OFFENSIVE	2	OFFENSIVE	
6628	27782	شعب معلم مليون سلام ليوم جديد تسقط بس	old_twitter	revolution_terms	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6629	27848	التسوية دي ما للاسلاميين مع الاسلاميين لكن للاسلاميين مع مظاليمهم من أفراد و مؤسسات و حق عام الحل في البل عثمان عبدالله	old_twitter	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6630	28339	شعبة الاستخبارات وقيادات الفرقة السادسة مشاة تتفقد المستنفرين بالمعسكرات وسط حماس الشباب الاربعاء ٤ اكتوبر ٢٠٢٣م كرامة_الجيش_كرامة_شعب معركة_الحسم الجيش_صاحي مليشيا_دقلو_منظمة_ارهابية انهاء_التمرد جيش_واحد_شعب_واحد ده_جيش_بتداوس؟ السودان السودان_اليوم بحري الخرطوم امدرمان الجيش_السوداني القوات_المسلحة الجيش جيشنا جياشة sudanese sudan khartoum SudanNews FYP sd sud sudan sudan_war khartoum_war KeepEyesOnSudan Conflict_in_Sudan diplomats	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6631	28610	الشيخ التكفيري محمد مصطفى عبدالقادر او ما يعرف باسم الشيخ التفتاف احد رموز الفكر الاسلامي الجهادي في السودان JihadisInSudan	war_corpus	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6632	28682	عمليات تمشيط نوعية تنفذها قوات الدروع بدات امس الاثنين ، الثلاثاء ١٤ نوفمبر ٢٠٢٣م السودان القوات_المسلحة كرامة_الجيش_كرامة_شعب معركة_الحسم الجيش_صاحي مليشيا_دقلو_منظمة_ارها بية انهاء_التمرد جيش_واحد_شعب_واحد ده_جيش_بتداوس؟ السودان_اليوم بحري الخرطوم امدرمان الجيش_السوداني الجيش جيشنا جياشة sudanese sudan khartoum SudanNews FYP sd sud sudan sudan_war khartoum_war KeepEyesOnSudan Conflict_in_Sudan diplomats	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6633	29385	ولهذا لما علم القحاطة هذه الحقيقة بداوا في جس نبض الشعب حتى يقبل باحتلال البيوت ويكون التفاوض بناء على ذلك ويقبل الناس بتقاسم الخرطوم وبقاء الدعامة باسرهم في البيوت	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6634	29440	عم عبد الرحيم يا كمين بشر صحي الموت سلام ما يغشاك شر	old_twitter	hate_tribal	NEUTRAL	OFFENSIVE	OFFENSIVE	2	OFFENSIVE	
6635	29550	قال تفاوض مافي انجغم في الدرعات التحية الي اسود الدروع	war_corpus	humanitarian	NEUTRAL	OFFENSIVE	NEUTRAL	2	NEUTRAL	
6636	29678	حمد الله ألف على السلامة..إنهد كتف المقصلة السجن ترباسه إنخلع..تحت انفجار الزلزلة والشعب بأسره إندلع..حرر مساجينه وطلع ⁩قرر ختام المهزلة⁦ #موكب6ابريل #تسقط_بس	old_twitter	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6637	29986	امدرمان شارع الشهيد عبدالعظيم الاربعين سابقا في مليونية2يناير ما_بتحكمونا لاتفاوض_لاشراكة_لاشرعية	war_corpus	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6638	30009	رئيس مجلس السيادة القائد العام للقوات المسلحة يتناول الافطار مع مجموعة من المواطنين بمدينة امدرمان الثلاثاء ١٢ مارس ٢٠٢٤م السودان القوات_المسلحة_السودانية المقاومة_الشعبية تحت قيادة القوات المسلحة نحن في الشدة باس يتجلى معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	violence_reporting	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6639	30628	الذكرى_٦٨_لاستقلال_السودان الاستقلال نحن في الشدة باس يتجلى الاستقلال_الشرف_الباذخ في الذكرى ٦٨ للاستقلال المجيد جنود القوات المسلحة يحيون النفرة الشعبية ويعاهدون الشعب على تطهير الارض من دنس مليشيا ال دقلو الارهابية صاحبة المشروع الاجنبي ١ يناير ٢٠٢٤م السودان القوات_المسلحة_السودانية معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد	war_corpus	violence_incitement	NEUTRAL	HATE	HATE	2	HATE	
6640	30695	الناطق السياسي لمليشيا ال دقلو الارهابية يهدد الشعب السوداني بالعنف المفرط اذا لم يستجيب الجيش للذهاب للتفاوض في جنيف تابعونا على الرابط قناة التلغرام _ قناة الواتساب	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6641	30798	هلاك المليشي عبدالرحمن الناير قائد المجوعة 13 تابع قناة المراسل السوداني علي الواتساب whatsapp com channel 0029VbAeJWtElagyZ8UbnC0E تابعنا في التلغرام	war_corpus	neutral_news	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6642	30892	مليشيا الدعم السريع نهبت متحف بيت الخليفة عبدالله التعايشي من سيوف و اثار ودمرت المدافع و المقتنيات التاريخية الدعم_السريع_منظمة_ارهابيه قناة كرري الجيش السوداني	war_corpus	violence_incitement	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6643	31324	واستعدادهم لتقديم المزيد من اجل حياة الشعب السوداني وحقه في العلاج، الدواء والحياة الكريمة رغم حالة الطواريء الصحية التي نعيشها لاتزال عمليات استهداف الكوادر الطبية مستمرة بذات منهج النظام البائد، ورصدت اكثر من حادثة اعتداء على الكوادر الطبية في الفترة الماضية القومه_للسودان	war_corpus	neutral_news	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6644	31892	خطت بعزم شعوبها افاق فجر اوحد فانا بها وانا لها وساكون اول مقتدي جماهير شعبنا الابي المناضل من اجل ازالة اثار الحكم البائد وازياله، ونحن اليوم نمشي بخطى ثابتة تجاه الحرية ونيل السلام والعدالة رغم وعورة الطريق الذي تعبد بارواح طاهرة من ابناء الشعب الشرفاء الذين فاضت ارواحهم	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6645	32009	دوكنز برّر بأنه اساتذتو اتحرشو بيه "تحرش خفيف"وهبشوه ودا ما جاب عليه اثر سلبي ودا قصور منه لانو الناس بتتاثر بدرجات مختلفة ثانياً قال انو ماممكن نحكم على اخلاقيات الماضي بمعايير اليوم ودا كلام زيت مع الدين بيبريء الرسول مثلا من تهمة البيدوفيليا والاستعباد في الاسلام يصبح مقبول	old_twitter	violence_reporting	NEUTRAL	NEUTRAL	OFFENSIVE	2	NEUTRAL	
6646	32059	تجمع الصيادلة المهنيين لا تفاوض لا مساومة لا وساطة ولا شراكة مع المجرمين اسقاط الانقلاب والتاسيس للسلطة المدنية الكاملة لتحقيق الحرية والسلام والعدالة مطلب غير قابل للتنازل او المساومة ارادة الشعب غلابه اعلام تجمع الصيادلة المهنيين 2 نوفمبر 2021 Feed generated with FetchRSS	war_corpus	profanity	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6647	32820	هذا اليوم الذي نوارى فيه الثري أحد شهداء ثورة ديسمبر المجيدة والذي من قبله سطروا بدمائهم الطاهرة عهدا جديدا تسوده قيم السلام والعدالة ، نؤكد أننا لن نتوانى في معاقبة الجناة الذين ازهقوا ارواح الأبرياء وتقديمهم للمحاكمة العادلة د. عبدالله حمدوك #تحديات_الفتره_الانتقاليه	old_twitter	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6648	32974	يسقط حكم العسكر يسقط البرهان وحميدتي وجلال وزين العابدين واجهات الحركه الاسلاميه يسقط سفاحي دارفور وخدام الجبهه الاسلاميه سلطه انتقاليه مدنيه هي بمثابه حد ادني لتطلعات الشعب السوداني لمحاسبه كل القتله المجرمين #الشارع_بس #اعتصام_القياده_العامه #مدن_السودان_تنتفض	old_twitter	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6649	33046	نريد الحليب والدواء والكساء لأطفالنا، والعزة لوطننا الذي دنسه ورخصه الحرامية "آل البشير" عليهم لعنة الله والشعب أجمعين. #الإعتصام_ضمان_لنيل_المطالب #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	HATE	2	HATE	
6650	33236	ان تصبح العقوبه المتعلقه باشانه السمعه والاساءات في مواقع التواصل الاجتماعي هي السجن لمدة عشر سنوات عوضا عن سته اشهر امر مرضي للغايه ومنصف عن نفسي وبصوت عبد السلام جلود الاجاويد لا بجوني فشفاشي ما ببرد الا احبسكم	war_corpus	dehumanizing	NEUTRAL	OFFENSIVE	OFFENSIVE	2	OFFENSIVE	
6651	33332	هزيمة واسقاط تحالف المجلس العسكري وعبد الله حمدوك الانقلابي معركة شعبنا التي لن نؤجلها، لكنها ليست سدرة منتهانا، ستتقدم القوى الثورية الحية لانتزاع السلطة الوطنية المدنية الكاملة لانجاز مهام الانتقال الديمقراطي وتحقيق اهداف ثورة ديسمبر المجيدة لاتفاوض_لاشراكة_لاشرعية	war_corpus	dehumanizing	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6652	33596	المشير عبدالفتاح البرهان القائد الاعلى للقوات المسلحة السودانية القوي الامين الوطني الذي لا يكل ولا يمل قال فيه من قال وشكك من شكك وهو صابر محتسب للحفاظ على امن وسلامة ووحده السودان القائد_الاعلى_للقوات_المسحلة_السودانية المشير_عبدالفتاح_البرهان هذه_الارض_لنا نصر_الله_قواتنا_المسلحة بل_بس	war_corpus	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6653	33949	كلام القائد الاعلى لقوات الشعب المسلحه الفريق اول ركن عبدالفتاح البرهان واضح لا تفاوض مع المليشيا	war_corpus	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6654	34149	عمليات تطويق وهجوم بمدينة بحري ماتزال قوات الانقلابيين تمارس بطشها وجبروتها بمحاصرة حي الشعبية وعدد من احياء مدينة بحري واطلاق الرصاص الحي والغاز المسيل للدموع مع مواصلة اقتحام البيوت والمطاردات داخل الاحياء وعمليات الاعتقال العشوائي مجزرة17نوفمبر لاتفاوض_لاشراكة_لاشرعية	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6655	34400	ابا البتول المادح عبد السلام محمد علي	war_corpus	humanitarian	NEUTRAL	NEUTRAL	OFFENSIVE	2	NEUTRAL	
6656	34478	رئيس مجلس السيادة القائد العام للقوات المسلحة يخاطب الضباط وضباط الصف و الجنود بقيادة الفرقة الاولي مشاة بحاضرة الجزيرة ودمدني الاحد ٣ ديسمبر ٢٠٢٣م السودان القوات_المسلحة_السودانية معركة_الكرامة مليشيا_حميدتي_منظمة_ارهابية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	violence_reporting	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6657	35220	ما زال افراد الجبهة الاسلامية يحكمون الشعب وذلك من خلال تواجدهم بمختلف المناصب المختلفة والحساسة وعلى رأسها القضائية والنيابة ووزارة الخارجية #لم_تسقط_بعد #اعتصام_القياده_العامه #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6658	35853	قوات سلاح الاشارة تدحر مليشيا العدو وتكبده خسائر فادحة في العتاد وتستلم عدد اثنين دبابة وتقت_ل العشرات ١٨ مارس ٢٠٢٤م السودان القوات_المسلحة_السودانية المقاومة_الشعبية تحت قيادة القوات المسلحة نحن في الشدة باس يتجلى معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6659	36338	قوات سلاح المدرعات تقتل اكثر من اربعين متمردا وتدمر كاتيوشا وعدد اربعة مركبات قتالية و اثنين صرصر الاحد ٢٦ نوفمبر ٢٠٢٣م السودان القوات_المسلحة_السودانية معركة_الكرامة مليشيا_حميدتي_منظمة_ارهابية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6660	36483	قوات العمل الخاص بامدرمان تنفذ عمليات نوعية تدمر فيها المليشيا وتكبدها خسائر في الارواح والعتاد السبت ١٨ نوفمبر ٢٠٢٣م السودان القوات_المسلحة كرامة_الجيش_كرامة_شعب معركة_الحسم الجيش_صاحي مليشيا_دقلو_منظمة_ارها بية انهاء_التمرد جيش_واحد_شعب_واحد ده_جيش_بتداوس؟ السودان_اليوم بحري الخرطوم امدرمان الجيش_السوداني الجيش جيشنا جياشة sudanese sudan khartoum SudanNews FYP sd sud sudan sudan_war khartoum_war KeepEyesOnSudan Conflict_in_Sudan diplomats	war_corpus	violence_incitement	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6661	36656	الامارات تحارب الشعب السوداني بالمسيرات، وبدعمها اللا محدود لمليشيا الدعم الارهابية المتمردة من اسلحة، وادوية، واموال القوات_المسلحة_السودانية_تمثلني السودان_يحاكم_الامارات_دوليا معركة_الكرامة الامارات_تقتل_الشعب_السوداني	war_corpus	humanitarian	NEUTRAL	HATE	HATE	2	HATE	
6662	36703	لجنة اطباء الامتياز اعلان ابان احداث ثورة ديسمبر المجيدة وبعد استشهاد د بابكر عبدالحميد غدرا على ايدي ميليشيات النظام البائد اتفق الاطباء على الانسحاب من المستشفيات النظامية الشرطة السلاح الطبي الامل حتى سقوط النظام، كلنا_لجان_الاحياء تحديات_الفتره_الانتقاليه	war_corpus	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6663	36784	قوات منطقة الشجرة تدمر العدو وتطمئن الشعب السوداني باقتراب النصر المؤزر السبت الاحد ٢٨ ٢٩ اكتوبر ٢٠٢٣م كرامة_الجيش_كرامة_شعب معركة_الحسم الجيش_صاحي مليشيا_دقلو_منظمة_ارهابية انهاء_التمرد جيش_واحد_شعب_واحد ده_جيش_بتداوس؟ السودان السودان_اليوم بحري الخرطوم امدرمان الجيش_السوداني القوات_المسلحة الجيش جيشنا جياشة sudanese sudan khartoum SudanNews FYP sd sud sudan sudan_war khartoum_war KeepEyesOnSudan Conflict_in_Sudan diplomats	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6664	36808	شاهد كلمة رئيس مجلس السيادة الانتقالي القائد العام للقوات المسلحة الفريق اول ركن عبدالفتاح البرهان امام الحشد الكبير لمواطني وطلاب خلاوي همشكوريب همشكوريب ١٠ ٤ ٢٠٢٤م فيديو السودان القوات_المسلحة_السودانية المقاومة_الشعبية تحت قيادة القوات المسلحة نحن في الشدة باس يتجلى معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6665	37007	شاهد عضو مجلس السيادة الفريق اول ركن ياسر العطا يستقبل عضو السيادي الفريق ابراهيم جابر بمنطقة وادي سيدنا العسكرية امدرمان ٢٦ ٣ ٢٠٢٤ م السودان القوات_المسلحة_السودانية المقاومة_الشعبية تحت قيادة القوات المسلحة نحن في الشدة باس يتجلى معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	violence_reporting	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6666	37103	شعارهم سودانا فوق فوق فوق القوات الخاصة تستعد لعمليات نوعية بكل محاور العمليات الاربعاء ٢٢ نوفمبر ٢٠٢٣م السودان القوات_المسلحة_السودانية معركة_الكرامة مليشيا_حميدتي_منظمة_ارهابية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6667	37260	محمد عبدالسلام ما مات عايش مع الثوار	old_twitter	hate_tribal	NEUTRAL	NEUTRAL	OFFENSIVE	2	NEUTRAL	
6668	37496	بل شافو قوات العمل الخاص وقت هجمت عليهم جرو وتاركين العربية بالسلاح والذخيرة تم نزع السلاح بسلام جيش_واحد_شعب_واحد دحر_المليشيا معركة_الكرامة	war_corpus	profanity	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6669	37844	فبالتالي تفشي العطالة والازمات حاجات حصلت قريب مثل ازمة دولة اليونان من ناحية التعصب فالشيوعين اسوء بكثير مو تعصب الدينيين ملايين من الابادات الصينية والانتهاكات لأعراض الفرد في الاتحاد السوفيتي والكثير الكثير من النازحين مصانع حربية بدل المصانع الاساسية لتوفير احتياجات شعبها	old_twitter	violence_reporting	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6670	38003	دفن الدقن ده ما بينفع علشان دماء شهداءنا بل_بس لا_تفاوض اعلان_التعبئة_العامة كلنا_جيش	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6671	38358	لازم يموت البشير وعلي عثمان ونافع واحمد هارون وقوش لازم يموت اعضاء المجلس الانقلابي لازم يتشنق كل منسوبي الحركه الاسلاميه ورجال الدين لازم يتحل الجيش والشرطه ويعاد تكوينم علي اسس ومفاهيم جديده واي حل غير هذا باطل لايحقق استقرار المجتمعات والامن القومي #مدن_السودان_تنتفض	old_twitter	hate_political	NEUTRAL	HATE	HATE	2	HATE	
6672	38415	قوات العمل الخاص بسلاح المدرعات نار وشرار وعمليات نوعية لدحر جيوب المليشيا الجمعة ٢٠ اكتوبر ٢٠٢٤م كرامة_الجيش_كرامة_شعب معركة_الحسم الجيش_صاحي مليشيا_دقلو_منظمة_ارهابية انهاء_التمرد جيش_واحد_شعب_واحد ده_جيش_بتداوس؟ السودان السودان_اليوم بحري الخرطوم امدرمان الجيش_السوداني القوات_المسلحة الجيش جيشنا جياشة sudanese sudan khartoum SudanNews FYP sd sud sudan sudan_war khartoum_war KeepEyesOnSudan Conflict_in_Sudan diplomats	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6673	38459	وصول رئيس مجلس السيادة القائد العام للقوات المسلحة الفريق اول ركن عبدالفتاح البرهان الى مدينة سنار حاضرة ولاية سنار الاربعاء ٣١ يناير٢٠٢٤م السودان القوات_المسلحة_السودانية المقاومة_الشعبية تحت قيادة القوات المسلحة نحن في الشدة باس يتجلى معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6674	38724	و اقلق ليه؟! ..وانا امي اللي كانت لما تدعيلي تقولي: "روح... ربنا ما يحوجك للعبد تعيش حر كما العصفور ولا يدخل ف قلبك برد علي سلامة احرار كما العصافير.. ثورة بدعوات اماتنا ثورة لأمهات الشهداء ستهدون فرحة ومن الله فردوس #موكب21مارس #تسقط_بس	old_twitter	hate_tribal	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6675	38866	سقطت الدولة العثمانيه ولم يسقط الإسلام سقطت الاندلس ولم يسقط الاسلام مات سيدنا عمر بن عبدالعزيز .ولم يسقط الاسلام قتل سيدنا عمر بن الخطاب ولم يسقط الأسلام قتل سيدنا عثمان بن عفان #تسقط_بس #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6676	38934	ابطال منطقة الشجرة العسكرية يدحرون العدو ويدمرون دبابات وعدد من المدرعات صرصر الاحد ٥ نوفمبر ٢٠٢٣م السودان القوات_المسلحة كرامة_الجيش_كرامة_شعب معركة_الحسم الجيش_صاحي مليشيا_دقلو_منظمة_ارها بية انهاء_التمرد جيش_واحد_شعب_واحد ده_جيش_بتداوس؟ السودان_اليوم بحري الخرطوم امدرمان الجيش_السوداني الجيش جيشنا جياشة sudanese sudan khartoum SudanNews FYP sd sud sudan sudan_war khartoum_war KeepEyesOnSudan Conflict_in_Sudan diplomats	war_corpus	violence_incitement	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6677	39230	شعبنا الابي، ان جرائم المجلس الانقلابي وممارساته تزيد من التفاف جماهير شعبنا حول لاءاتها الثلاث المعلنة لا تفاوض، لا مساومة، ولا شراكة فالقوى الثورية الحية في لجان المقاومة بالاحياء والفرقان والقوى النقابية والاجسام ماضية في تشبيك جهودها ورص صفوفها في حركة مقاومة سلمية مستمرة	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6678	39326	لو الكونفيرشن ريت تعبان، مافيش فائدة يا عبد السلام	old_twitter	hate_tribal	NEUTRAL	NEUTRAL	OFFENSIVE	2	NEUTRAL	
6679	39626	مشاارگةة تمبوشه سلام الفقرة عبارة عن انو تقيم نفسك من 100 الهدوء 90 الرومنسية 70 العصبية 100 البرود 1 العناد 100 حب الاطفال 50 تﮧﯛ૭تةة عنيدة وعصبية منورة	war_corpus	humanitarian	NEUTRAL	NEUTRAL	OFFENSIVE	2	NEUTRAL	
6680	39646	لجنة مقاومة الواحة اعلان مهم لازلنا على العهد والوعد ما استطعنا قابضين على جمر القضية، وقد اقسمنا على ان نكمل المشوار حتى تتحقق اركان ثورتنا الثلاث حرية سلام عدالة ولا زالت الثورة خيار الشعب مستمرة، ولتكن ارواح شهدائنا بسلام ضحايا_سياسه_التمكين تحديات_الفتره_الانتقاليه	war_corpus	hate_political	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6681	39675	شاهد كلمة رئيس مجلس السيادة الانتقالي القائد العام للقوات المسلحة الفريق اول ركن عبدالفتاح البرهان امام الحشد الكبير لمواطني وطلاب خلاوي همشكوريب همشكوريب ١٠ ٤ ٢٠٢٤م فيديو السودان القوات_المسلحة_السودانية المقاومة_الشعبية تحت قيادة القوات المسلحة نحن في الشدة باس يتجلى معركة_الكرامة مليشيا_حميدتي_منظمة_ارها_بية جيش_واحد_شعب_واحد sudan SudanNews Conflict_in_Sudan sudan_war	war_corpus	violence_reporting	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6682	39739	للحرية والسلام والعدالة والتحول الديمقراطي، وفي هذا الشهر الكريم وصلوات القلوب المفعمة بالايمان ندعو بالرحمة والمغفرة لشهداء الكرام جماهير شعبنا في ظل استمرار ثورتنا ضد الانقلابين ومليشياتهم العسكرية والمهادنين الذين يقفون بين الشعب السوداني وبين رغبته في بناء دولة الحرية	war_corpus	humanitarian	NEUTRAL	HATE	NEUTRAL	2	NEUTRAL	
6683	11030	كيف يسقط البشير؟ سفارات البلدان مصالحها مع النظام لن تدعمنا و لن نترجى وقت المساعدات انتهى قبل اشهر هذا يحدث لكن الاعلام جبان نحن إعلام انفسنا السودان كلة في ضجة قد يظهر غير ذلك و لكن عليك النزول الى الشارع السوداني يوم الخميس مرفوض سوف نقتل كالحمام #تسقط_بس	old_twitter	violence_incitement	HATE	HATE	OFFENSIVE	2	HATE	
6684	18301	لاتنسوا الاستغفار وادعوا دعاء الخسوف اللهم انا نستغفرك ونتوب اليك توبة عبد ظالم لنفسه لا يملك لنفسه ضرا ولا نفعا ولا موتا ولا حياة ولا نشورا اللهم تولنا فيمن توليت وبارك لنا فيما اعطيت ، نستغفرك ربنا ونتوب اليك ، اجعلنا تحت ظلك ورحمتك ، فانت سبحانك ارحم الراحمين	war_corpus	violence_incitement	HATE	NEUTRAL	NEUTRAL	2	NEUTRAL	
6685	18306	كيف يسقط البشير؟ سفارات البلدان مصالحها مع النظام لن تدعمنا و لن نترجى وقت المساعدات انتهى قبل اشهر هذا يحدث لكن الاعلام جبان نحن إعلام انفسنا السودان كلة في ضجة قد يظهر غير ذلك و لكن عليك النزول الى الشارع السوداني يوم الخميس مرفوض سوف نقتل كالحمام #تسقط_بس	old_twitter	revolution_terms	HATE	HATE	OFFENSIVE	2	HATE	
